시군구명,주관 부서,,민원접수건수
수원시,팔달구보건소,,5
수원시,팔달구보건소,보건행정과,1585
수원시,홍보기획관,,28
수원시,화성사업소,문화유산관리과,30
수원시,화성사업소,문화유산시설과,9
수원시,환경국,기후대기과,614
수원시,환경국,수질환경과,787
수원시,환경국,위생정책과,4838
수원시,환경국,자원순환과,145
수원시,환경국,청소자원과,3634
수원시,환경국,하수관리과,131
수원시,환경국,환경정책과,223
수원시,감사관,,38
수원시,경제정책국,기업지원과,71
수원시,경제정책국,지역경제과,121
수원시,경제정책국,징수과,1
수원시,경제정책국,회계과,5
수원시,공원녹지사업소,공원관리과,5
수원시,공원녹지사업소,녹지경관과,46
수원시,공원녹지사업소,생태공원과,156
수원시,군공항이전협력국,상생발전과,1
수원시,권선구,가정복지과,15720
수원시,권선구,건설과,2643
수원시,권선구,건축과,4106
수원시,권선구,경제교통과,6976
수원시,권선구,곡선동,2003
수원시,권선구,구운동,1215
수원시,권선구,권선1동,2018
수원시,권선구,권선2동,1675
수원시,권선구,금곡동,1790
수원시,권선구,녹지공원과,11
수원시,권선구,사회복지과,25815
수원시,권선구,생활안전과,397
수원시,권선구,서둔동,1940
수원시,권선구,세류1동,1011
수원시,권선구,세류2동,2416
수원시,권선구,세류3동,1514
수원시,권선구,세무과,1639
수원시,권선구,입북동,581
수원시,권선구,종합민원과,3966
수원시,권선구,평동,2339
수원시,권선구,행정지원과,712
수원시,권선구,호매실동,3274
수원시,권선구,환경위생과,2997
수원시,권선구보건소,,2
수원시,권선구보건소,보건행정과,1846
수원시,기획조정실,시민봉사과,47827
수원시,기획조정실,인적자원과,1
수원시,기획조정실,자치행정과,4
수원시,기획조정실,정보통신과,154
수원시,농수산물도매시장관리사무소,,89
수원시,농업기술센터,농수산물도매시장관리과,39
수원시,농업기술센터,생명산업과,654
수원시,도로교통관리사업소,도로관리과,29
수원시,도로교통관리사업소,도로정비과,556
수원시,도로교통관리사업소,자동차관리과,154
수원시,도로교통관리사업소,자동차등록과,483
수원시,도서관사업소,광교홍재도서관,1
수원시,도서관사업소,도서관정책과,43
수원시,도서관사업소,북수원도서관,5
수원시,도시개발국,도시개발과,14
수원시,도시개발국,도시디자인과,46
수원시,도시개발국,도시정비과,176
수원시,도시디자인단,,177
수원시,도시안전통합센터,,9
수원시,도시정책실,건축과,1176
수원시,도시정책실,공동주택과,9
수원시,도시정책실,공동주택관리과,18790
수원시,도시정책실,도시계획과,152
수원시,도시정책실,도시관리과,80
수원시,도시정책실,지속가능과,46
수원시,도시정책실,토지정보과,4337
수원시,문화체육교육국,관광과,156
수원시,문화체육교육국,교육청소년과,2
수원시,문화체육교육국,문화예술과,143
수원시,문화체육교육국,체육진흥과,10
수원시,복지여성국,노인복지과,268
수원시,복지여성국,보육아동과,1532
수원시,복지여성국,복지허브화추진단,3
수원시,복지여성국,사회복지과,4202
수원시,복지여성국,여성정책과,69
수원시,복지여성국,장애인복지과,67
수원시,상수도사업소,맑은물공급과,1569
수원시,상수도사업소,맑은물정책과,2592
수원시,안전교통국,건설정책과,472
수원시,안전교통국,대중교통과,5572
수원시,안전교통국,도시교통과,28
수원시,안전교통국,생태교통과,2
수원시,안전교통국,시민안전과,80
수원시,영통구,가정복지과,15062
수원시,영통구,건설과,2367
수원시,영통구,건축과,1655
수원시,영통구,경제교통과,5228
수원시,영통구,광교1동,4305
수원시,영통구,광교2동,1695
수원시,영통구,녹지공원과,17
수원시,영통구,매탄1동,1177
수원시,영통구,매탄2동,842
수원시,영통구,매탄3동,2474
수원시,영통구,매탄4동,1107
수원시,영통구,사회복지과,21782
수원시,영통구,생활안전과,73
수원시,영통구,세무과,2815
수원시,영통구,영통1동,1663
수원시,영통구,영통2동,2984
수원시,영통구,영통3동,2121
수원시,영통구,원천동,3086
수원시,영통구,종합민원과,4729
수원시,영통구,태장동,2119
수원시,영통구,행정지원과,394
수원시,영통구,환경위생과,2900
수원시,영통구보건소,,2
수원시,영통구보건소,보건행정과,1807
수원시,일자리경제국,기업지원과,149
수원시,일자리경제국,생명산업과,575
수원시,일자리경제국,일자리정책과,2
수원시,일자리경제국,지역경제과,110
수원시,일자리경제국,회계과,1
수원시,장안구,가정복지과,7940
수원시,장안구,건설과,1393
수원시,장안구,건설과,1
수원시,장안구,건축과,2364
수원시,장안구,경제교통과,4619
수원시,장안구,녹지공원과,15
수원시,장안구,사회복지과,16084
수원시,장안구,생활안전과,239
수원시,장안구,세무과,564
수원시,장안구,송죽동,949
수원시,장안구,연무동,1167
수원시,장안구,영화동,1617
수원시,장안구,율천동,3373
수원시,장안구,정자1동,1070
수원시,장안구,정자2동,1112
수원시,장안구,정자3동,1620
수원시,장안구,조원1동,1301
수원시,장안구,조원2동,517
수원시,장안구,종합민원과,2313
수원시,장안구,파장동,1095
수원시,장안구,행정지원과,474
수원시,장안구,환경위생과,2034
수원시,장안구보건소,보건행정과,1364
수원시,팔달구,가정복지과,4472
수원시,팔달구,건설과,1264
수원시,팔달구,건축과,2347
수원시,팔달구,경제교통과,3016
수원시,팔달구,고등동,1620
수원시,팔달구,녹지공원과,7
수원시,팔달구,매교동,776
수원시,팔달구,매산동,1909
수원시,팔달구,사회복지과,11159
수원시,팔달구,생활안전과,225
수원시,팔달구,세무과,812
수원시,팔달구,우만1동,1270
수원시,팔달구,우만2동,1006
수원시,팔달구,인계동,3432
수원시,팔달구,종합민원과,3133
수원시,팔달구,지동,926
수원시,팔달구,행궁동,730
수원시,팔달구,행정지원과,496
수원시,팔달구,화서1동,724
수원시,팔달구,화서2동,1090
수원시,팔달구,환경위생과,2893
수원시,팔달구보건소,,4
수원시,팔달구보건소,보건행정과,1576
수원시,홍보기획관,,44
수원시,화성사업소,문화유산관리과,16
수원시,화성사업소,문화유산시설과,12
수원시,환경국,기후대기과,814
수원시,환경국,수질환경과,597
수원시,환경국,위생정책과,4510
수원시,환경국,자원순환과,3599
수원시,환경국,하수관리과,230
수원시,환경국,환경정책과,77
수원시,감사관,,44
수원시,공원녹지사업소,공원관리과,17
수원시,공원녹지사업소,녹지경관과,56
수원시,공원녹지사업소,생태공원과,195
수원시,군공항이전추진단,군공항이전과,3
수원시,권선구,가정복지과,13311
수원시,권선구,건설과,2166
수원시,권선구,건축과,3349
수원시,권선구,경제교통과,5214
수원시,권선구,곡선동,2137
수원시,권선구,구운동,1234
수원시,권선구,권선1동,1857
수원시,권선구,권선2동,2263
수원시,권선구,금곡동,2207
수원시,권선구,사회복지과,5768
수원시,권선구,생활안전과,179
수원시,권선구,서둔동,2108
수원시,권선구,세류1동,925
수원시,권선구,세류2동,2078
수원시,권선구,세류3동,1535
수원시,권선구,세무과,1293
수원시,권선구,입북동,749
수원시,권선구,종합민원과,4024
수원시,권선구,평동,1809
수원시,권선구,행정지원과,627
수원시,권선구,호매실동,1636
수원시,권선구,환경위생과,3116
수원시,권선구보건소,,2
수원시,권선구보건소,보건행정과,1866
수원시,기획조정실,시민봉사과,35771
수원시,기획조정실,예산재정과,1
수원시,기획조정실,자치행정과,8
수원시,기획조정실,정보통신과,140
수원시,기획조정실,행정지원과,3
수원시,농수산물도매시장관리사무소,,144
수원시,도로교통관리사업소,도로관리과,34
수원시,도로교통관리사업소,도로정비과,1107
수원시,도로교통관리사업소,자동차관리과,152
수원시,도로교통관리사업소,자동차등록과,403
수원시,도서관사업소,도서관정책과,42
수원시,도서관사업소,선경도서관,1
수원시,도시개발국,도시개발과,44
수원시,도시개발국,도시디자인과,32
수원시,도시개발국,도시정비과,114
수원시,도시디자인단,,148
수원시,도시안전통합센터,,6
수원시,도시정책실,건축과,1238
수원시,도시정책실,공동주택관리과,11186
수원시,도시정책실,도시계획과,181
수원시,도시정책실,도시관리과,11
수원시,도시정책실,주택과,1
수원시,도시정책실,지속가능과,76
수원시,도시정책실,토지정보과,2619
수원시,문화체육교육국,관광과,167
수원시,문화체육교육국,교육청소년과,3
수원시,문화체육교육국,문화예술과,257
수원시,문화체육교육국,체육진흥과,172
수원시,복지여성국,,1
수원시,복지여성국,노인복지과,345
수원시,복지여성국,보육아동과,975
수원시,복지여성국,사회복지과,4264
수원시,복지여성국,여성정책과,76
수원시,복지여성국,장애인복지과,49
수원시,상수도사업소,맑은물공급과,1928
수원시,상수도사업소,맑은물생산과,3
수원시,상수도사업소,맑은물정책과,676
수원시,시민소통기획관,,1
수원시,안전교통국,건설정책과,570
수원시,안전교통국,대중교통과,4813
수원시,안전교통국,도로과,5
수원시,안전교통국,도시교통과,27
수원시,안전교통국,시민안전과,71
수원시,영통구,가정복지과,14328
수원시,영통구,건설과,1437
수원시,영통구,건축과,1819
수원시,영통구,경제교통과,4422
수원시,영통구,광교1동,3639
수원시,영통구,광교2동,1454
수원시,영통구,매탄1동,1174
수원시,영통구,매탄2동,829
수원시,영통구,매탄3동,2756
수원시,영통구,매탄4동,1266
수원시,영통구,사회복지과,2490
수원시,영통구,생활안전과,96
수원시,영통구,세무과,1435
수원시,영통구,영통1동,2430
수원시,영통구,영통2동,2640
수원시,영통구,영통3동,47
수원시,영통구,원천동,2172
수원시,영통구,종합민원과,4668
수원시,영통구,태장동,5412
수원시,영통구,행정지원과,388
수원시,영통구,환경위생과,2836
수원시,영통구보건소,보건행정과,1807
수원시,의회사무국,의정담당관,1
수원시,일자리경제국,기업지원과,651
수원시,일자리경제국,생명산업과,1029
수원시,일자리경제국,지역경제과,266
수원시,일자리경제국,징수과,2
수원시,일자리경제국,회계과,7
수원시,장안구,가정복지과,8206
수원시,장안구,건설과,838
수원시,장안구,건축과,2227
수원시,장안구,경제교통과,4107
수원시,장안구,사회복지과,4208
수원시,장안구,생활안전과,330
수원시,장안구,세무과,660
수원시,장안구,송죽동,1082
수원시,장안구,연무동,1141
수원시,장안구,영화동,1452
수원시,장안구,율천동,3116
수원시,장안구,정자1동,1327
수원시,장안구,정자2동,1282
수원시,장안구,정자3동,1528
수원시,장안구,조원1동,1357
수원시,장안구,조원2동,701
수원시,장안구,종합민원과,3102
수원시,장안구,파장동,1268
수원시,장안구,행정지원과,454
수원시,장안구,환경위생과,1960
수원시,장안구보건소,보건행정과,1447
수원시,차량등록사업소,,9
수원시,팔달구,가정복지과,4913
수원시,팔달구,건설과,920
수원시,팔달구,건축과,2462
수원시,팔달구,경제교통과,3983
수원시,팔달구,고등동,3312
수원시,팔달구,매교동,869
수원시,팔달구,매산동,1452
수원시,팔달구,사회복지과,4541
수원시,팔달구,생활안전과,99
수원시,팔달구,세무과,305
수원시,팔달구,우만1동,1417
수원시,팔달구,우만2동,1058
수원시,팔달구,인계동,3597
수원시,팔달구,종합민원과,3987
수원시,팔달구,지동,822
수원시,팔달구,행궁동,678
수원시,팔달구,행정지원과,371
수원시,팔달구,화서1동,1078
수원시,팔달구,화서2동,1175
수원시,팔달구,환경위생과,2909
수원시,팔달구보건소,보건행정과,1479
수원시,홍보기획관,,32
수원시,화성사업소,,1
수원시,화성사업소,문화유산관리과,10
수원시,화성사업소,문화유산시설과,40
수원시,환경국,기후대기과,648
수원시,환경국,수질환경과,637
수원시,환경국,위생정책과,3934
수원시,환경국,자원순환과,3829
수원시,환경국,하수관리과,100
수원시,환경국,환경정책과,136
수원시,감사관,,47
수원시,공보관,,24
수원시,공원녹지사업소,공원관리과,19
수원시,공원녹지사업소,녹지경관과,68
수원시,공원녹지사업소,생태공원과,224
수원시,권선구,,1
수원시,권선구,가정복지과,13922
수원시,권선구,건설과,340
수원시,권선구,건축과,3454
수원시,권선구,경제교통과,5551
수원시,권선구,곡선동,1466
수원시,권선구,구운동,787
수원시,권선구,권선1동,1373
수원시,권선구,권선2동,1859
수원시,권선구,금곡동,891
수원시,권선구,사회복지과,4538
수원시,권선구,서둔동,1284
수원시,권선구,세류1동,472
수원시,권선구,세류2동,976
수원시,권선구,세류3동,821
수원시,권선구,세무과,936
수원시,권선구,안전건설과,1858
수원시,권선구,입북동,493
수원시,권선구,종합민원과,6480
수원시,권선구,평동,1797
수원시,권선구,행정지원과,527
수원시,권선구,호매실동,729
수원시,권선구,환경위생과,3479
수원시,권선구보건소,보건행정과,1877
수원시,기획조정실,시민봉사과,17663
수원시,기획조정실,예산재정과,1
수원시,기획조정실,자치행정과,8
수원시,기획조정실,정보통신과,157
수원시,기획조정실,행정지원과,1
수원시,농수산물도매시장관리사무소,,98
수원시,도로교통관리사업소,,425
수원시,도서관사업소,광교홍재도서관,1
수원시,도서관사업소,도서관정책과,71
수원시,도시개발국,균형개발과,15
수원시,도시개발국,도시개발과,2
수원시,도시개발국,도시디자인과,16
수원시,도시개발국,도시철도과,5
수원시,도시개발국,시설공사과,3
수원시,도시개발국,재개발사업과,1
수원시,도시디자인단,,119
수원시,도시안전통합센터,,4
수원시,도시정책실,건축과,1164
수원시,도시정책실,공동주택관리과,8207
수원시,도시정책실,군공항이전과,1
수원시,도시정책실,도시계획과,223
수원시,도시정책실,도시재생과,81
수원시,도시정책실,토지정보과,3377
수원시,문화체육교육국,관광과,151
수원시,문화체육교육국,문화예술과,269
수원시,문화체육교육국,체육진흥과,378
수원시,박물관사업소,수원박물관,1
수원시,복지여성국,노인복지과,469
수원시,복지여성국,보육아동과,904
수원시,복지여성국,사회복지과,3140
수원시,복지여성국,여성정책과,68
수원시,복지여성국,장애인복지과,99
수원시,상수도사업소,맑은물공급과,2103
수원시,상수도사업소,맑은물정책과,407
수원시,안전교통국,건설정책과,3
수원시,안전교통국,교통정책과,194
수원시,안전교통국,대중교통과,4559
